_id,scientific_name,common_name,date,year,range,description,type,latitude,longitude,latlong,continent,country,size,commonSMame,common_SMme,image
57bbaf7e7f658b5320d3f88f,Saiga tatarica,Saiga antelope,0001-01-01T00:00:00Z,-10000 BC,North America,"Died out toward end of last ice age, approx -10000 BC",land,35.22,-111.25,"35.22,-111.25",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f890,Homotherium,Scimitar cats,0001-01-01T00:00:00Z,-10000 BC,"USA,Canada,Mexico","Died out toward end of last ice age, approx -10000 BC",land,38.11,-90.83,"38.11,-90.83",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f891,Nothrotheriops shastensis,Shasta ground sloth,0001-01-01T00:00:00Z,-10000,USA,-10000,land,29.11,-94.83,"29.11,-94.83",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f892,Equus scotti,Scott's horse,0001-01-01T00:00:00Z,-10000 BC,USA and Mexico,"Died out toward end of last ice age, approx -10000 BC",land,31.2,-105,"31.2,-105",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f896,Bison priscus,Steppe wisent,0001-01-01T00:00:00Z,-10000 BC,Alaska and Yukon,"Died out toward end of last ice age, approx -10000 BC",land,65.52,-143.86,"65.52,-143.86",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f897,Hemiauchenia,Stilt-legged llama,0001-01-01T00:00:00Z,-10000 BC,USA and Mexico,"Died out toward end of last ice age, approx -10000 BC",land,55.55,-85.4,"55.55,-85.4",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f898,Stockoceros onusrosagris,Stockoceros,0001-01-01T00:00:00Z,-10000 BC,Southwestern North America,"Died out toward end of last ice age, approx -10000 BC",land,48.22,-111.25,"48.22,-111.25",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f89a,Tapirus merriami,Tapir - Tapirus merriami,0001-01-01T00:00:00Z,-11000 BC,USA,-11000 BC,land,44.22,-97.25,"44.22,-97.25",North America,US,ZZ,,,
57bbaf7e7f658b5320d3f89b,Quemisia gravis,Twisted-toothed mouse,0001-01-01T00:00:00Z,-11000 BC,Hispaniola,-11000 BC,land,18.022,-73.11,"18.022,-73.11",North America,DO,SM,,,
57bbaf7e7f658b5320d3f89c,Ursus maritimus tyrannus,Ursus maritimus Polar Bear,0001-01-01T00:00:00Z,-70000 BC,Arctic,-11000 BC,land,70.67,-107.06,"70.67,-107.06",North America,CA,MD,,,
57bbaf7e7f658b5320d3f89d,Equus occidentalis,Western horse,0001-01-01T00:00:00Z,-10000 BC,USA,--,land,36.22,-105.25,"36.22,-105.25",North America,US,MD,,,
57bbaf7e7f658b5320d3f89e,Mammuthus primigenius,Woolly mammoth,0001-01-01T00:00:00Z,-2000 BC,Northern USA,"Woolly mammoths survived a great loss of habitat at the end of the Saale glaciation 125,000 years ago, and it is likely that humans hunted the remaining populations to extinction at the end of the last glacial period.",land,47.22,-100.25,"47.22,-100.25",North America,US,LG,,,
57bbaf7e7f658b5320d3f89f,Equus lambei,Yukon horse,0001-01-01T00:00:00Z,-11000 BC,USA and Canada,"Equus lambei ranged across North America until approximately 10,000 years ago. It probably was much like the extinct Tarpan and the living Przewalski's Horse of today.",land,59.17,-136.89,"59.17,-136.89",North America,CA,ZZ,,,
